"zip","lat","lon","city","abr","county","type"
23836,37.35,-77.34,"CHESTER","VA","CHESTERFIELD","STANDARD"
23837,36.71,-77.22,"COURTLAND","VA","SOUTHAMPTON","STANDARD"
23838,37.33,-77.63,"CHESTERFIELD","VA","CHESTERFIELD","STANDARD"
23839,37.07,-76.92,"DENDRON","VA","SURRY","STANDARD"
23840,37.07,-77.68,"DEWITT","VA","DINWIDDIE","STANDARD"
23841,37.08,-77.6,"DINWIDDIE","VA","DINWIDDIE","STANDARD"
23842,37.15,-77.21,"DISPUTANTA","VA","PRINCE GEORGE","STANDARD"
23843,36.85,-77.81,"DOLPHIN","VA","BRUNSWICK","STANDARD"
23844,36.66,-77.34,"DREWRYVILLE","VA","SOUTHAMPTON","STANDARD"
23845,36.6,-78,"EBONY","VA","BRUNSWICK","STANDARD"
23846,37.07,-76.86,"ELBERON","VA","SURRY","STANDARD"
23847,36.69,-77.54,"EMPORIA","VA","EMPORIA CITY","STANDARD"
23850,37.13,-77.74,"FORD","VA","DINWIDDIE","STANDARD"
23851,36.68,-76.94,"FRANKLIN","VA","FRANKLIN CITY","STANDARD"
23856,36.81,-77.72,"FREEMAN","VA","BRUNSWICK","STANDARD"
23857,36.6,-77.89,"GASBURG","VA","BRUNSWICK","STANDARD"
23860,37.29,-77.3,"HOPEWELL","VA","HOPEWELL CITY","STANDARD"
23866,36.89,-76.9,"IVOR","VA","SOUTHAMPTON","STANDARD"
23867,36.86,-77.28,"JARRATT","VA","SUSSEX","STANDARD"
23868,36.73,-77.81,"LAWRENCEVILLE","VA","BRUNSWICK","STANDARD"
23870,36.72,-77.53,"JARRATT","VA","GREENSVILLE","UNIQUE"
23872,37.01,-77.74,"MC KENNEY","VA","DINWIDDIE","STANDARD"
23873,36.81,-77.95,"MEREDITHVILLE","VA","BRUNSWICK","PO BOX ONLY"
23874,36.61,-77.09,"NEWSOMS","VA","SOUTHAMPTON","STANDARD"
23875,37.23,-77.26,"PRINCE GEORGE","VA","PRINCE GEORGE","STANDARD"
23876,36.95,-77.84,"RAWLINGS","VA","BRUNSWICK","STANDARD"
23878,36.82,-77.03,"SEDLEY","VA","SOUTHAMPTON","STANDARD"
23879,36.6,-77.59,"SKIPPERS","VA","GREENSVILLE","STANDARD"
23881,37.17,-76.97,"SPRING GROVE","VA","SURRY","STANDARD"
23882,36.88,-77.39,"STONY CREEK","VA","SUSSEX","STANDARD"
23883,37.1,-76.82,"SURRY","VA","SURRY","STANDARD"
23884,36.95,-77.25,"SUSSEX","VA","SUSSEX","PO BOX ONLY"
23885,37.18,-77.58,"SUTHERLAND","VA","DINWIDDIE","STANDARD"
23887,36.66,-77.82,"VALENTINES","VA","BRUNSWICK","STANDARD"
23888,36.96,-77.04,"WAKEFIELD","VA","SUSSEX","STANDARD"
23889,36.89,-77.76,"WARFIELD","VA","BRUNSWICK","STANDARD"
23890,36.97,-77.13,"WAVERLY","VA","SUSSEX","STANDARD"
23891,36.91,-77.29,"WAVERLY","VA","SUSSEX","UNIQUE"
23893,36.62,-77.93,"WHITE PLAINS","VA","BRUNSWICK","STANDARD"
23894,37.13,-77.7,"WILSONS","VA","DINWIDDIE","STANDARD"
23897,36.84,-77.28,"YALE","VA","SUSSEX","STANDARD"
23898,36.83,-76.82,"ZUNI","VA","ISLE OF WIGHT","STANDARD"
23899,37.2,-76.98,"CLAREMONT","VA","SURRY","PO BOX ONLY"
23901,37.28,-78.42,"FARMVILLE","VA","PRINCE EDWARD","STANDARD"
23909,37.3,-78.39,"FARMVILLE","VA","PRINCE EDWARD","UNIQUE"
23915,36.71,-78.28,"BASKERVILLE","VA","MECKLENBURG","STANDARD"
23917,36.66,-78.35,"BOYDTON","VA","MECKLENBURG","STANDARD"
23919,36.61,-78.29,"BRACEY","VA","MECKLENBURG","STANDARD"
